annot_transcript_id	k562_1_chr20	k562_2_chr20
ENST00000382369.9	1	3
ENST00000500893.3	1	2
ENST00000414676.5	1	0
ENST00000342665.4	0	1
ENST00000492242.5	0	1
ENST00000382291.7	6	3
ENST00000608467.5	0	0
ENST00000217233.7	102	59
ENST00000449710.5	0	2
ENST00000382214.7	0	0
ENST00000356286.9	4	1
ENST00000415942.5	0	0
ENST00000475269.5	23	16
ENST00000353660.7	0	0
ENST00000400245.3	5	0
ENST00000382181.2	1	0
ENST00000400247.3	8	5
ENST00000468272.1	0	0
ENST00000461304.5	0	0
ENST00000354200.4	7	10
ENST00000646561.1	32	20
ENST00000643660.1	0	0
ENST00000645623.1	0	0
ENST00000349736.10	2	2
ENST00000217244.8	7	8
ENST00000642673.1	0	0
ENST00000644448.1	0	0
ENST00000645334.1	1	0
ENST00000645768.1	2	1
ENST00000609606.6	0	0
ENST00000642160.1	6	4
ENST00000608490.2	1	0
ENST00000381962.3	2	6
ENST00000645534.1	0	0
ENST00000381941.7	8	2
ENST00000541082.2	0	0
ENST00000492704.1	0	0
ENST00000246015.8	8	7
ENST00000335877.10	73	32
ENST00000484891.1	0	0
ENST00000620712.1	0	0
ENST00000381808.7	0	0
ENST00000339987.7	0	0
ENST00000360779.3	0	0
ENST00000607947.1	0	0
ENST00000446423.1	0	0
ENST00000474657.5	0	0
ENST00000400137.8	212	144
ENST00000618612.4	1	0
ENST00000439640.4	0	0
ENST00000381724.7	5	10
ENST00000381719.7	6	4
ENST00000381715.3	0	2
ENST00000353088.6	0	0
ENST00000555944.5	0	1
ENST00000216879.8	87	47
ENST00000615777.1	0	0
ENST00000400068.7	0	0
ENST00000622179.4	0	0
ENST00000356025.7	0	0
ENST00000358771.4	0	0
ENST00000411839.1	0	0
ENST00000381458.5	0	0
ENST00000381342.6	263	118
ENST00000438552.6	186	101
ENST00000474384.2	0	1
ENST00000278772.8	0	0
ENST00000329276.9	31	9
ENST00000469588.5	0	0
ENST00000612233.1	0	2
ENST00000415272.2	0	0
ENST00000492135.5	1	0
ENST00000480447.5	0	1
ENST00000462630.5	1	0
ENST00000467857.1	1	2
ENST00000474315.5	24	11
ENST00000380851.9	4	3
ENST00000380843.8	202	113
ENST00000474714.5	0	0
ENST00000360652.6	0	0
ENST00000356872.7	0	0
ENST00000380445.7	12	11
ENST00000380469.7	0	0
ENST00000380443.5	0	0
ENST00000455631.5	0	0
ENST00000216877.10	6	5
ENST00000399903.6	0	0
ENST00000380325.3	80	49
ENST00000217173.6	1	1
ENST00000348031.6	4	2
ENST00000380266.3	21	9
ENST00000329152.7	0	0
ENST00000496781.1	0	0
ENST00000354488.7	67	25
ENST00000380113.7	88	32
ENST00000490838.6	1	0
ENST00000455664.6	2	1
ENST00000460550.5	1	2
ENST00000399838.3	3	0
ENST00000461029.1	0	0
ENST00000472295.1	1	1
ENST00000642402.1	0	0
ENST00000647296.1	0	0
ENST00000621919.1	0	0
ENST00000252032.9	0	0
ENST00000446916.2	0	1
ENST00000483362.1	0	0
ENST00000356518.6	0	0
ENST00000379861.8	0	0
ENST00000217195.12	3	2
ENST00000399672.5	0	0
ENST00000379772.3	135	72
ENST00000379756.3	0	0
ENST00000379751.4	3	1
ENST00000344256.10	0	0
ENST00000467519.5	3	2
ENST00000245960.9	2	3
ENST00000439880.6	0	0
ENST00000340833.4	0	0
ENST00000246041.6	0	0
ENST00000379567.6	1	1
ENST00000615891.1	5	7
ENST00000416600.6	1	1
ENST00000428216.3	6	8
ENST00000451507.1	0	0
ENST00000497424.5	0	1
ENST00000316562.8	12	13
ENST00000336066.7	13	2
ENST00000621507.1	1	2
ENST00000621891.1	0	0
ENST00000336095.10	1	1
ENST00000358395.10	14	11
