tid	PB65_B017	PB65_B018	D12
ENSMUST00000020741.10	100000	0	0
ENCODE-mouseT000008453	100000	250000	0
ENSMUST00000020637.8	0	0	142857.1429
ENCODE-mouseT000008457	0	0	142857.1429
ENCODE-mouseT000008458	0	0	142857.1429
ENCODE-mouseT000008459	0	0	142857.1429
ENCODE-mouseT000008460	0	250000	0
ENCODE-mouseT000008461	100000	0	0
ENCODE-mouseT000008462	100000	0	0
ENSMUST00000105344.6	0	250000	0
ENCODE-mouseT000008451	300000	250000	285714.2857
ENCODE-mouseT000008452	100000	0	0
ENCODE-mouseT000008454	100000	0	0
ENCODE-mouseT000008455	100000	0	0
ENCODE-mouseT000008456	0	0	142857.1429
