gene_ID	transcript_ID	annot_gene_id	annot_transcript_id	annot_gene_name	annot_transcript_name	n_exons	length	gene_novelty	transcript_novelty	ISM_subtype	PB65_B017	PB65_B018	D12
5	28	ENSMUSG00000020457.12	ENSMUST00000020741.10	ENCODE-mouseG000000005	Drg1-001	9	1546	Known	Known	None	1	0	0
723	1744	ENSMUSG00000020368.14	ENSMUST00000020637.8	ENCODE-mouseG000000723	Canx-001	15	3779	Known	Known	None	0	0	1
2987	8437	ENSMUSG00000020167.13	ENSMUST00000105344.6	ENCODE-mouseG000002987	Tcf3-005	19	2946	Known	Known	None	0	1	0
2987	8451	ENSMUSG00000020167.13	ENCODE-mouseT000008451	ENCODE-mouseG000002987	ENCODE-mouseT000008451	1	2053	Known	Genomic	None	3	1	2
2987	8452	ENSMUSG00000020167.13	ENCODE-mouseT000008452	ENCODE-mouseG000002987	ENCODE-mouseT000008452	3	1027	Known	ISM	Suffix	1	0	0
5	8453	ENSMUSG00000020457.12	ENCODE-mouseT000008453	ENCODE-mouseG000000005	ENCODE-mouseT000008453	8	1187	Known	NIC	None	1	1	0
2988	8454	ENCODE-mouseG000002988	ENCODE-mouseT000008454	ENCODE-mouseG000002988	ENCODE-mouseT000008454	1	1170	Antisense	Antisense	None	1	0	0
2989	8455	ENCODE-mouseG000002989	ENCODE-mouseT000008455	ENCODE-mouseG000002989	ENCODE-mouseT000008455	1	1742	Intergenic	Intergenic	None	1	0	0
2990	8456	ENCODE-mouseG000002990	ENCODE-mouseT000008456	ENCODE-mouseG000002990	ENCODE-mouseT000008456	1	2239	Antisense	Antisense	None	0	0	1
723	8457	ENSMUSG00000020368.14	ENCODE-mouseT000008457	ENCODE-mouseG000000723	ENCODE-mouseT000008457	15	4251	Known	NNC	None	0	0	1
723	8458	ENSMUSG00000020368.14	ENCODE-mouseT000008458	ENCODE-mouseG000000723	ENCODE-mouseT000008458	1	1237	Known	Genomic	None	0	0	1
723	8459	ENSMUSG00000020368.14	ENCODE-mouseT000008459	ENCODE-mouseG000000723	ENCODE-mouseT000008459	7	3256	Known	NNC	None	0	0	1
723	8460	ENSMUSG00000020368.14	ENCODE-mouseT000008460	ENCODE-mouseG000000723	ENCODE-mouseT000008460	13	1706	Known	ISM	Prefix	0	1	0
723	8461	ENSMUSG00000020368.14	ENCODE-mouseT000008461	ENCODE-mouseG000000723	ENCODE-mouseT000008461	11	1378	Known	ISM	Suffix	1	0	0
723	8462	ENSMUSG00000020368.14	ENCODE-mouseT000008462	ENCODE-mouseG000000723	ENCODE-mouseT000008462	11	1846	Known	ISM	Prefix	1	0	0
